0, Chris, Davis, 0511827863, chris@gmail.com, 8000, 2000, 1
385, Chris, Miller, 0554935192, chris@gmail.com, 31000, 2001, 0
386, Alex, Martinez, 0591854644, alex@gmail.com, 31000, 2001, 0
387, Chris, Davis, 0561555456, chris@gmail.com, 42000, 2009, 1
388, Anna, Garcia, 0520223098, anna@gmail.com, 20000, 2009, 0
389, John, Davis, 0584645366, john@gmail.com, 5000, 2021, 0
390, Chris, Martinez, 0539439505, chris@gmail.com, 43000, 2012, 0
391, Katie, Jones, 0578276431, katie@gmail.com, 6000, 2018, 1
392, Tom, Jones, 0525200587, tom@gmail.com, 5000, 2001, 0
393, Jane, Martinez, 0578324441, jane@gmail.com, 19000, 2015, 1
394, Chris, Brown, 0577021251, chris@gmail.com, 18000, 2003, 0
395, Chris, Martinez, 0534017008, chris@gmail.com, 1000, 2006, 1
396, Sara, Davis, 0553814798, sara@gmail.com, 10000, 2007, 0
397, Paul, Smith, 0503328294, paul@gmail.com, 1000, 2004, 0
398, Paul, Johnson, 0530456618, paul@gmail.com, 47000, 2016, 0
399, Mike, Brown, 0541418614, mike@gmail.com, 20000, 2008, 0



